TAAK_TAAKID,TAAK_OMSCHRIJVING,AUFNR,VARIANTID
9659_ASAP,Inzichtelijk maken kosten,101000064035,34
9659_ASAP,Inzichtelijk maken kosten,101000064796,34
9659_ASAP,Inzichtelijk maken kosten,101000064939,32
9659_ASAP,Inzichtelijk maken kosten,101000065343,32
9659_ASAP,Inzichtelijk maken kosten,101000065565,34
9659_ASAP,Inzichtelijk maken kosten,101000066499,19
9659_ASAP,Inzichtelijk maken kosten,101000066509,46
9659_ASAP,Inzichtelijk maken kosten,101000067623,19
9659_ASAP,Inzichtelijk maken kosten,101000067644,34
9659_ASAP,Inzichtelijk maken kosten,101000067694,32
9659_ASAP,Inzichtelijk maken kosten,101000068671,34
9659_ASAP,Inzichtelijk maken kosten,101000069062,19
9659_ASAP,Inzichtelijk maken kosten,101000069084,32
9659_ASAP,Inzichtelijk maken kosten,101000069165,19
9659_ASAP,Inzichtelijk maken kosten,101000069322,34
9659_ASAP,Inzichtelijk maken kosten,101000069518,19
9659_ASAP,Inzichtelijk maken kosten,101000069636,33
9659_ASAP,Inzichtelijk maken kosten,101000069794,19
9659_ASAP,Inzichtelijk maken kosten,101000070062,33
9659_ASAP,Inzichtelijk maken kosten,101000070149,33
9659_ASAP,Inzichtelijk maken kosten,101000070156,33
9659_ASAP,Inzichtelijk maken kosten,101000070233,19
9659_ASAP,Inzichtelijk maken kosten,101000070430,19
9659_ASAP,Inzichtelijk maken kosten,101000070486,19
9659_ASAP,Inzichtelijk maken kosten,101000070641,19
9659_ASAP,Inzichtelijk maken kosten,101000070645,32
9659_ASAP,Inzichtelijk maken kosten,101000070681,32
9659_ASAP,Inzichtelijk maken kosten,101000070683,32
9659_ASAP,Inzichtelijk maken kosten,101000070703,32
9659_ASAP,Inzichtelijk maken kosten,101000070709,32
9659_ASAP,Inzichtelijk maken kosten,101000071053,39
9659_ASAP,Inzichtelijk maken kosten,101000071186,19
9659_ASAP,Inzichtelijk maken kosten,101000071259,33
9659_ASAP,Inzichtelijk maken kosten,101000071362,19
9659_ASAP,Inzichtelijk maken kosten,101000071871,34
9659_ASAP,Inzichtelijk maken kosten,101000071889,39
9659_ASAP,Inzichtelijk maken kosten,101000071902,46
9659_ASAP,Inzichtelijk maken kosten,101000071912,34
9659_ASAP,Inzichtelijk maken kosten,101000071915,46
9659_ASAP,Inzichtelijk maken kosten,101000072447,19
9659_ASAP,Inzichtelijk maken kosten,101000072934,19
9659_ASAP,Inzichtelijk maken kosten,101000073612,39
9659_ASAP,Inzichtelijk maken kosten,101000073789,33
9659_ASAP,Inzichtelijk maken kosten,101000074304,33
9659_ASAP,Inzichtelijk maken kosten,101000074307,33
9659_ASAP,Inzichtelijk maken kosten,101000074401,34
9659_ASAP,Inzichtelijk maken kosten,101000074484,39
9659_ASAP,Inzichtelijk maken kosten,101000074599,33
9659_ASAP,Inzichtelijk maken kosten,101000074623,19
9659_ASAP,Inzichtelijk maken kosten,101000074714,46
9659_ASAP,Inzichtelijk maken kosten,101000074765,32
9659_ASAP,Inzichtelijk maken kosten,101000074843,33
9659_ASAP,Inzichtelijk maken kosten,101000074907,39
9659_ASAP,Inzichtelijk maken kosten,101000075014,34
9659_ASAP,Inzichtelijk maken kosten,101000075231,19
9659_ASAP,Inzichtelijk maken kosten,101000075359,39
9659_ASAP,Inzichtelijk maken kosten,101000075416,33
9659_ASAP,Inzichtelijk maken kosten,101000075666,33
9659_ASAP,Inzichtelijk maken kosten,101000075667,19
9659_ASAP,Inzichtelijk maken kosten,101000075820,33
9659_ASAP,Inzichtelijk maken kosten,101000075826,19
9659_ASAP,Inzichtelijk maken kosten,101000075858,19
9659_ASAP,Inzichtelijk maken kosten,101000075962,33
9659_ASAP,Inzichtelijk maken kosten,101000075979,46
9659_ASAP,Inzichtelijk maken kosten,101000075983,46
9659_ASAP,Inzichtelijk maken kosten,101000076016,19
9659_ASAP,Inzichtelijk maken kosten,101000076029,46
9659_ASAP,Inzichtelijk maken kosten,101000076045,33
9659_ASAP,Inzichtelijk maken kosten,101000076061,33
9659_ASAP,Inzichtelijk maken kosten,101000076080,33
9659_ASAP,Inzichtelijk maken kosten,101000076169,19
9659_ASAP,Inzichtelijk maken kosten,101000076194,46
