PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000204039;PD226065;503400;X;3181 HZ;verzwaren_zekeringwissel;KA1;E;PROCES;S01
101000204040;PD226069;504250;X;3621 PC;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000203964;PD226068;503400;X;3317 MB;verzwaren_zekeringwissel;KA1;E;PROCES;S01
101000204041;PD226072;763841;X;3551 AJ;cor_oranje;KA1;E;PROCES;S05
101000184458;PD206444;501346;;2726 AV;LAADPAAL;KA1;E;PROCES;S03
101000203889;PD226024;501360;;3281 MA;combi_laagbouw_groen;KA1;E;PROCES;S01
101000184353;PD206460;501346;;3224 TN;LAADPAAL;KA1;E;PROCES;S01
101000184362;PD206484;501346;;3201 EM;LAADPAAL;KA1;E;PROCES;S01
101000182541;PD204632;501346;;3583 RD;LAADPAAL;KA1;E;PROCES;S05
101000185867;PD207946;501346;;3533 CK;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S05
101000203968;PD226085;501065;X;3769 BV;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000189426;PD211135;602973;;3081 TT;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_incl._net;KA1;E;PROJECT;S01
101000204104;PD226083;504015;;3411 MD;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000200245;PD222049;602973;;3293 LB;verkoop_proces_uitvoering_projecten_verkoop_combi;KA1;E;PROJECT;S01
000031018108;PD207281;604428;;3274 KE;;N06;E;PROJECT;S01
000031018028;PD204972;604428;;3315 BS;;N06;E;PROJECT;S01
101000169720;PD190697;764760;;4231 DJ;gvb-proj._aanleg_e_3x100a_t/m_1750kva__incl._net;KA1;E;PROJECT;S01
000031015552;PD174591;604111;;2959 LB;;N06;E;PROJECT;S01
101000198474;PD220388;602973;;3281 LC;verkoop_proces_uitvoering_projecten_verkoop_combi;KA1;E;PROJECT;S01
101000204049;PD226094;765816;X;3571 PT;aardgasloos_renoveren_hoogbouw_bo_stop;KA1;G;PROCES;S05
101000203335;PD225344;764760;;3319 GW;elektrisch_vervoer_projecten;KA1;E;PROJECT;S01
000031018223;PD208362;502272;;3195 VG;;N06;G;PROJECT;S01
101000203938;PD225966;763841;X;3531 CG;cor_oranje;KA1;E;PROCES;S05
101000199393;PD221427;501737;;2641 KM;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_incl._net;KA1;E;PROJECT;S03
101000203974;PD226099;762728;X;2941 BP;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S03
101000203899;PD226053;504431;;3261 KG;aanleg_laagbouw_oranje;KA1;E;PROCES;S01
101000204109;PD226103;750549;X;2582 LZ;verzwaren_zekeringwissel;KA1;E;PROCES;S03
101000202250;PD224132;504431;;4241 DW;aanleg_laagbouw_oranje;KA1;E;PROCES;S01
101000150919;PD172019;501812;;3443 XE;verkoop_proces_uitvoering_projecten_verkoop_AA;KA1;E;PROJECT;S05
101000204002;PD225972;504015;;3526 HD;aardgasloos_renoveren_hoogbouw_afzuig;KA1;G;PROCES;S05
000031017346;PD197332;500586;;4203 NS;;K07;E+G;PROJECT;S01
101000202017;PD223889;504015;;3742 CS;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000204055;PD226112;863277;X;3161 EV;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
101000202849;PD224761;504238;;3511 NL;grootverbruik_proces_capaciteitswijziging_elektra;KA1;E;PROCES;S05
101000204112;PD226113;863277;X;3261 KW;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
