PRODUCT;Hoofdproduct;SAPCODEPRODUCTCHANNEL;SAPCODEPRODUCTTEAM;VARIANTID;WORKCENTREID;IS_ACTIVE;;;;
COR Groen (excl. vergunningen);Communicatie Openbare Ruimte;oor_plus;communicatie_openbare_ruimte;NULL;NULL;1;;;;
GVB-Proj. Verplaatsen E 3x100A t/m 1750kVA  incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
TL-Proj. Verwijderen E 3x100A t/m 1750kVA  incl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
WB >5 Aanleg E t/m 1750kVA Hoogbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
TL-Proj. Verwijderen E 3x100A t/m 1750kVA  excl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
TL-Proj. Verlicht/Verzwaar Elek - incl. graafwerk excl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
GVB-Proj. Verplaatsen Gas G40 t/m G250  incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Elek - excl. graafwerk excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verwijderen Gas G40 t/m G250  incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G25 Hoogbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Verzwaren E t/m 3x80A Hoogbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
EV-GVB MLOEA 'serieel';Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;NULL;NULL;1;;;;
EV-GVB MLOEA 'parallel';Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;NULL;NULL;1;;;;
GVB-Proj. Aanleg Gas G40 t/m G250 incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
TL-Proj. Verlicht/Verzwaar Elek - incl. graafwerk incl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen E tm 1750kVA Laagbouw GVB+KVB incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
WB >5 Verzwaren E t/m 3x80A Laagbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
SL-Proj. Verwijderen Gas tm G250 Laagbouw GVB+KVB excl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
WB Transf. >5 Aanleg G4 tm G25 verw tm G250 incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
TL-Proj. MLOEA serieel Elektra - Terugleveren;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
TL-Proj. Aanleg E 3x100A t/m 1750kVA  excl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
TL-Proj. Verplaatsen E 3x100A t/m 1750kVA  incl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen Gas tm G250 Hoogbouw GVB+KVB incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
EV-GVB Verlichten/Verzwaren Elektra;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
SL-Proj. Verwijderen Gas tm G250 Laagbouw GVB+KVB incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
GVB-Proj. Aanleg E 3x100A t/m 1750kVA  excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen E tm 3x80A Laagbouw incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
AGLR GVB – LD Net;Aardgasloos;a_en_a;aardgasloos_renoveren;NULL;NULL;1;;;;
WB Transf. >5 Aanleg G4 tm G25 verw tm G250 excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
GVB-Proj. MLOEA parallel Elektra - Afname;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
TL-Proj. MLOEA parallel Elektra - Terugleveren;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
AGLR Laagbouw - 6 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;60;;1;;;;
AGLR Laagbouw - 6 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
AGLR Laagbouw - 8 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;60;;1;;;;
AGLR Laagbouw - 8 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
AGLR Hoogbouw - Afzuig;Aardgasloos;a_en_a;aardgasloos_renoveren;65;;1;;;;
AGLR Hoogbouw - Afzuig;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
AGLR Hoogbouw - I-stop;Aardgasloos;a_en_a;aardgasloos_renoveren;65;;1;;;;
AGLR Hoogbouw - I-stop;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
AGLR Hoogbouw - Bo-stop;Aardgasloos;a_en_a;aardgasloos_renoveren;65;;1;;;;
AGLR Hoogbouw - Bo-stop;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
AGLR Laagbouw - 4 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;60;;1;;;;
AGLR Laagbouw - 4 uur;Aardgasloos;a_en_a;aardgasloos_renoveren;94;AVTPH1;1;;;;
WB Transf. >5 Aanleg tm 3x80A + verw. tm 3x250A excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
