VARIANTID,PB_TAAKID,PB_TAAK_OMSCHRIJVING,TAAK_TAAKID,TAAK_TAAK_OMSCHRIJVING,TAAK_VOLGORDE
000305,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000305,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000931,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000931,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000931,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000931,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000951,9210_ASAP,Controleren oplevering,9790_ASAP,Aanmaken oplevermap,0001
000951,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000951,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0005
000960,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
009052,9210_ASAP,Controleren oplevering,9790_ASAP,Aanmaken oplevermap,0001
009052,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
009052,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0005
900010,9210_TT,PLANBLOK Controleren oplevering,9659_TT,TAAK Oplevering1,0001
